计数            温度            样品电压          样品电流          霍尔电势          磁场强度          励磁电流
370           297.7         0.4214        0.7986        0.1290        66.8          1.4160
371           297.7         0.4145        0.8010        0.1207        67.8          1.4160
372           297.7         0.3847        0.8064        0.0973        68.8          1.4160
373           297.7         0.3204        0.8138        0.0244        -2.5          0.0190
374           297.7         0.3035        0.8145        -0.0729       -36.6         0.4400
375           297.7         0.2866        0.8224        -0.1176       -36.6         1.1670
376           297.7         0.4232        0.8224        -0.1277       -60.9         1.4150
377           297.7         0.4288        0.8307        -0.1296       -65.6         1.4150
378           297.7         0.4356        0.8307        -0.1319       -68.0         1.4150
379           297.7         0.4369        0.8306        -0.1324       -69.1         1.4150
380           297.7         0.4419        0.8385        -0.1340       -69.8         1.4150
381           297.6         0.4382        0.8386        -0.1262       -70.4         1.4150
382           297.6         0.4344        0.8467        -0.1087       -71.1         1.4150
383           297.6         0.4307        0.8467        -0.0527       3.8           0.1340
384           297.6         0.3019        0.8546        0.0660        3.8           0.4910
385           297.6         0.3984        0.8546        0.1187        31.5          1.0980
386           297.7         0.4359        0.8627        0.1331        55.2          1.4150
387           297.7         0.4492        0.8627        0.1371        63.0          1.4150
388           297.7         0.4523        0.8627        0.1381        64.9          1.4150
389           297.7         0.4579        0.8708        0.1400        66.2          1.4150
390           297.7         0.4589        0.8708        0.1405        67.0          1.4150
391           297.7         0.4620        0.8787        0.1374        53.3          1.4150
392           297.7         0.4334        0.8786        0.1195        24.4          1.4150
393           297.7         0.3898        0.8866        0.0785        24.4          0.0830
394           297.7         0.3122        0.8866        -0.0456       -0.1          0.6240
395           297.7         0.3988        0.8873        -0.1176       -36.2         1.1580
396           297.7         0.4490        0.8948        -0.1367       -62.4         1.4150
397           297.7         0.4644        0.8960        -0.1412       -66.4         1.4150
398           297.7         0.4723        0.9028        -0.1429       -68.0         1.4150
399           297.7         0.4740        0.9091        -0.1436       -69.3         1.4150
400           297.7         0.4792        0.9106        -0.1453       -69.3         1.4150
401           297.6         0.4800        0.9126        -0.1435       -69.8         1.4150
402           297.6         0.4808        0.9185        -0.1281       -52.8         1.4150
403           297.6         0.4816        0.9185        -0.0883       -23.8         0.0080
404           297.6         0.3283        0.9260        0.0206        3.5           0.4870
405           297.6         0.3909        0.9269        0.1151        36.7          1.2130
406           297.7         0.4563        0.9342        0.1430        59.1          1.2130
407           297.7         0.4848        0.9350        0.1477        63.1          1.4150
408           297.7         0.4887        0.9423        0.1492        65.2          1.4150
409           297.7         0.4950        0.9431        0.1514        65.2          1.4150
410           297.7         0.4964        0.9508        0.1519        66.2          1.4150
411           297.7         0.5015        0.9511        0.1532        66.8          1.4150
412           297.7         0.4850        0.9511        0.1366        67.5          1.4150
413           297.7         0.4437        0.9589        0.1083        68.1          0.0870
414           297.7         0.3597        0.9590        0.0073        -7.2          0.5380
415           297.7         0.3767        0.9670        -0.1116       -35.4         0.5380
416           297.7         0.3937        0.9670        -0.1420       -59.1         1.1460
417           297.7         0.4988        0.9751        -0.1518       -66.1         1.4150
418           297.7         0.5084        0.9832        -0.1537       -66.1         1.4150
419           297.7         0.5109        0.9832        -0.1548       -67.8         1.4150
420           297.7         0.5168        0.9834        -0.1567       -69.1         1.4150
421           297.7         0.5177        0.9834        -0.1570       -68.5         1.4150
422           297.6         0.5116        0.9915        -0.1573       -67.8         1.4150
423           297.6         0.4680        0.9914        -0.1576       -67.2         1.4150
424           297.6         0.4030        0.9995        -0.0319       9.0           0.0360
425           297.6         0.3708        0.9996        0.0996        9.0           0.6060
426           297.7         0.3385        1.0075        0.1449        36.7          1.2130
427           297.7         0.5173        1.0078        0.1577        57.8          1.4150
428           297.7         0.5251        1.0078        0.1615        63.5          1.4150
429           297.7         0.5323        1.0158        0.1626        65.2          1.4150
430           297.7         0.5338        1.0159        0.1633        66.4          1.4150
431           297.7         0.5391        1.0239        0.1650        66.7          1.4150
432           297.7         0.5327        1.0247        0.1565        67.0          1.4150
433           297.7         0.4995        1.0319        0.1345        67.3          1.4150
434           297.7         0.4387        1.0364        0.0515        67.3          0.0110
435           297.7         0.3745        1.0401        -0.0724       -7.1          0.5330
436           297.7         0.4800        1.0468        -0.1419       -32.1         1.2620
437           297.7         0.5321        1.0468        -0.1618       -61.2         1.4150
